Durham_id,Sample_id,Well_id,Extraction,Replicate,Total_resin_g,Initial_g,After_E1g,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,51V (STDR),52Cr (STDR),Fe,Mn,59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
Amanda 44,36,86_3,2,1,63.7,82,105.3,53.0,4.2,0.0,581.0,10.2,8.0,630.3,"584,601.5",-18.0,1.0,3.9,0.9,14.9,1.5,0.3,0.0,0.2,2.7,1.4,24.2,0.2,66.9,0.0,0.0,0.3,0.4,0.2,0.0
Amanda blank,ICP_blank,,,,,,,13.4,-0.8,-6.6,448.4,6.0,4.6,5.3,498.9,-70.2,0.2,0.6,0.5,4.0,0.3,0.0,-0.7,0.0,0.2,0.2,10.0,0.0,14.8,0.0,0.0,0.1,0.0,0.0,0.0
Amanda 45,37,86_3,1,2,63.7,79.6,96.6,149.6,39.0,0.0,571.1,9.9,7.5,672.3,"598,391.0",161.8,0.4,3.9,0.9,16.6,7.6,0.1,-0.1,0.4,2.3,1.2,21.2,0.9,58.0,1.1,0.0,0.3,1.4,0.3,0.0
Amanda 46,38,86_3,2,2,63.7,79.6,96.6,50.4,4.7,0.0,590.1,9.9,7.9,717.9,"595,343.3",-15.2,0.4,4.2,0.9,18.6,1.7,0.3,-0.1,0.3,1.7,1.5,25.0,0.2,72.7,0.2,0.0,0.2,0.6,0.3,0.0
Amanda 47,39,86_3,1,3,63.7,79.5,100.7,145.6,36.6,0.0,579.5,11.6,8.0,688.1,"589,945.5",158.4,0.4,4.1,0.9,0.0,7.3,0.1,0.0,0.4,2.4,1.4,25.5,0.8,73.2,0.1,0.0,0.2,1.1,0.3,0.0
Amanda 48,40,86_3,2,3,63.7,79.5,100.7,51.2,4.6,0.0,585.2,10.5,8.0,714.1,"591,281.2",-16.5,0.2,4.2,1.0,19.8,1.7,0.0,-0.2,0.2,1.7,1.4,26.1,0.2,76.6,0.1,0.0,0.2,0.5,0.3,0.0
Amanda 49,41,86_4,1,1,74.8,79.5,96,187.2,20.9,0.0,600.9,11.1,8.2,679.6,"597,406.1",136.9,0.3,3.9,0.9,20.0,2.3,0.0,-0.4,0.3,3.8,1.4,26.7,0.6,74.7,2.3,0.0,0.2,0.5,0.2,0.0
Amanda 50,42,86_4,2,1,74.8,79.5,96,51.0,2.5,0.6,614.6,10.6,8.2,632.9,"597,300.9",-27.8,0.2,3.7,0.9,0.0,0.9,0.3,-0.3,0.2,0.9,1.4,25.9,0.1,72.3,1.8,0.0,0.1,0.2,0.2,0.0
Amanda 51,43,86_4,1,2,74.8,79.3,92.6,180.9,20.5,29.3,0.0,0.0,0.0,667.6,"592,508.7",123.4,0.3,3.9,0.8,0.0,2.3,0.3,-0.2,0.3,1.3,1.4,27.2,0.5,75.6,2.3,0.0,0.2,0.5,0.2,0.0
Amanda 52,44,86_4,2,2,74.8,79.3,92.6,51.6,2.8,1.7,598.0,10.6,8.5,683.2,"596,492.3",-26.3,0.2,3.9,0.8,14.9,0.9,0.3,-0.2,0.2,1.2,1.4,27.2,0.1,75.4,2.0,0.0,0.1,0.2,0.2,0.0
Amanda 53,45,86_4,1,3,74.8,79.5,88.4,185.0,21.0,0.0,604.8,11.9,8.6,679.4,"594,985.9",130.9,0.4,3.9,0.9,17.4,2.4,0.3,-0.1,128.5,75.2,1.5,28.2,0.5,79.0,2.3,0.0,0.6,0.6,4.3,0.0
Amanda 54,46,86_4,2,3,74.8,79.5,88.4,47.3,2.0,-0.5,0.0,10.4,8.2,631.4,"587,188.5",-34.4,0.2,3.7,0.8,13.7,0.9,0.3,-0.2,0.2,1.0,1.3,26.9,0.1,74.1,1.8,0.0,0.2,0.2,0.2,0.0
Amanda blank,ICP_blank,,,,,,,13.1,-0.7,-6.8,0.0,6.3,0.0,2.0,253.8,-72.9,0.2,0.3,0.6,4.8,0.3,0.0,-0.7,0.1,0.2,0.1,7.9,0.0,9.9,0.0,0.0,0.1,0.0,0.0,0.0
Amanda 55,1,99_99,1,1,1,79.6,79.6,39.3,0.9,-2.5,609.1,10.9,8.1,614.4,"600,688.3",-58.2,0.2,3.5,1.0,15.4,0.6,0.3,-0.4,0.1,0.8,1.2,21.2,0.0,0.0,1.1,0.0,0.1,0.1,0.2,0.0
Amanda 56,2,99_99,2,1,1,79.6,79.6,38.4,0.0,8.4,616.7,10.3,8.0,638.5,"599,731.2",-61.8,0.3,3.7,0.9,0.0,0.6,0.3,-0.4,0.3,1.3,1.3,23.9,0.0,66.8,0.3,0.0,0.2,0.1,0.3,0.0
Amanda 57,3,99_99,1,2,1,79.6,79.6,40.9,-0.5,-5.8,633.1,10.0,8.2,633.5,"599,121.3",-65.4,0.1,3.7,0.8,11.9,0.7,0.0,-0.4,0.2,0.9,1.3,25.5,0.0,68.0,0.1,0.0,0.1,0.0,0.2,0.0
Amanda 58,4,99_99,2,2,1,79.6,79.6,45.2,0.2,-5.7,658.8,10.4,8.5,693.4,"606,893.9",-61.1,0.2,4.0,0.9,0.0,0.7,0.0,-0.5,0.3,1.0,1.4,28.1,0.0,76.5,0.1,0.0,0.1,0.1,0.2,0.0
Amanda 59,5,99_99,1,3,1,82.3,82.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amanda 60,6,99_99,2,3,1,82.3,82.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
