Durham_id,Sample_id,Well_id,Extraction,Replicate,Total_resin_g,Initial_g,After_E1g,7Li (STDR),Na,Mg,Al,29Si (STDR),P,S,35Cl (STDR),39K (STDR),Ca,48Ti (STDR),51V (STDR),52Cr (STDR),Fe,Mn,59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
20,20,52_2,2,1,75.98,,,0.4,61.8,36.5,61.2,109.6,10.3,2.4,438.0,"266,430.8",182.4,0.4,1.1,1.3,23.7,45.5,0.1,0.6,0.2,1.7,0.4,29.2,1.2,14.0,0.0,0.0,0.3,4.1,1.4,0.0
Blank,ICP_blank,,,,,,,0.2,12.6,0.8,1.5,69.2,3.8,1.3,1.9,"1,020.3",2.6,0.0,0.1,0.9,9.0,0.3,0.0,0.4,0.1,0.2,0.0,14.4,0.0,5.5,0.1,0.0,0.2,0.0,0.0,0.0
21,21,52_2,1,2,75.98,,,1.4,484.6,172.7,263.4,112.9,61.3,3.4,358.4,"259,347.0",428.6,0.7,1.0,1.4,56.4,163.1,0.2,1.0,0.6,1.4,0.5,26.2,1.8,11.7,0.5,0.0,0.3,3.4,2.5,0.0
22,22,52_2,2,2,75.98,,,0.5,79.4,21.6,45.4,112.5,11.0,2.5,438.8,"254,271.6",94.1,0.0,1.1,1.4,25.6,23.9,0.0,0.6,0.2,3.0,0.4,33.4,0.5,19.9,0.2,0.0,0.4,1.4,0.8,0.0
23,23,52_3,1,1,75.03,,,0.3,35.8,4.7,8.6,117.5,6.5,2.6,383.6,"251,631.9",60.7,0.2,0.9,1.4,19.5,0.8,0.0,0.5,0.0,2.2,0.3,31.6,0.1,20.7,0.0,0.0,0.1,0.1,0.3,0.0
24,24,52_3,2,1,75.03,,,0.3,35.0,1.6,13.9,121.3,6.5,2.7,431.7,"248,601.7",17.2,0.2,1.0,1.5,19.6,0.5,0.0,0.5,0.1,2.7,0.4,33.2,0.1,24.0,0.0,0.0,0.3,1.9,0.3,0.0
25,25,52_3,1,2,75.03,,,0.4,44.0,6.4,9.4,114.6,6.7,2.7,386.8,"245,596.4",73.3,0.2,0.9,2.7,25.5,1.1,0.0,1.8,0.2,1.7,0.3,30.8,0.1,23.1,0.1,0.0,0.2,0.1,0.2,0.0
26,26,52_3,2,2,75.03,,,0.3,28.2,1.8,4.3,124.1,6.9,2.7,419.3,"245,342.8",16.6,0.2,1.0,1.4,17.9,0.4,0.0,0.5,0.0,1.0,0.4,32.5,0.0,25.1,0.1,0.0,0.2,0.1,0.3,0.0
27,27,52_4,1,1,16.16,,,0.8,268.1,79.3,202.1,128.0,17.5,4.4,380.3,"244,511.6",247.7,0.1,0.9,1.5,73.8,9.7,0.2,0.7,0.2,1.3,0.3,30.8,1.8,23.9,0.0,0.0,0.4,2.3,0.2,0.0
28,28,52_4,2,1,16.16,,,0.4,52.8,10.1,38.9,121.6,6.8,2.8,434.3,"242,844.4",49.4,0.2,1.0,1.2,27.3,1.6,0.0,0.5,0.0,0.7,0.4,32.1,0.5,26.5,0.0,0.0,0.2,1.0,0.2,0.0
