Durham_id,Sample_id,Well_id,Extraction,Replicate,Total_resin_g,Initial_g,After_E1g,7Li (STDR),Na,Mg,Al,29Si (STDR),P,S,35Cl (STDR),39K (STDR),Ca,48Ti (STDR),51V (STDR),52Cr (STDR),Fe,Mn,59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
Amanda 19,19,52_2,1,1,81.58,79.53,93.58,3.4,606.0,201.0,449.1,170.3,69.0,7.1,774.4,"193,698.4",784.1,1.1,1.6,1.3,96.1,188.2,2.6,1.5,1.0,1.3,0.8,40.6,3.4,95.3,0.0,0.0,0.2,7.4,4.1,0.0
Amanda 20,20,52_2,2,1,81.58,79.53,93.58,0.7,87.6,26.3,72.7,202.9,12.1,4.5,816.9,"196,788.3",133.9,0.3,1.3,1.4,42.0,28.2,2.5,0.8,0.2,1.8,0.6,43.0,0.7,104.1,0.0,0.0,0.2,2.6,1.1,0.0
Amanda blank,ICP_blank,,,,,,,0.3,22.7,0.9,0.7,186.0,6.1,3.5,3.0,409.5,9.6,0.1,0.1,1.0,13.2,0.2,2.3,0.6,0.0,0.4,0.0,8.2,0.0,7.7,0.3,0.0,0.1,0.1,0.0,0.0
Amanda 21,21,52_2,1,2,81.58,79.43,91.16,3.2,556.9,217.7,475.2,184.7,65.9,8.1,771.7,"198,710.7",900.4,1.4,1.6,1.2,106.0,206.5,2.7,1.5,1.0,1.2,0.8,35.2,4.0,85.5,0.0,0.0,0.2,9.1,4.4,0.0
Amanda 22,22,52_2,2,2,81.58,79.43,91.16,0.7,81.1,26.9,79.1,226.6,11.7,4.7,824.8,"199,036.2",148.5,0.0,1.3,1.4,37.7,29.4,2.5,0.7,0.2,1.0,0.7,42.8,0.8,103.7,0.0,0.0,0.2,3.1,1.2,0.0
Amanda 23,23,52_3,1,1,88.9,79.58,89.28,2.1,347.0,92.2,267.4,203.3,15.1,6.4,773.8,"202,363.3",273.1,0.5,1.2,1.4,54.6,35.3,2.7,1.0,0.5,1.2,0.6,41.6,1.3,98.8,0.0,0.0,0.2,2.2,0.6,0.0
Amanda 24,24,52_3,2,1,88.9,79.58,89.28,0.6,66.1,11.1,47.1,197.6,8.2,4.7,828.3,"208,893.1",62.1,0.3,1.2,1.4,30.3,4.6,2.5,0.9,0.3,4.2,0.6,45.0,0.3,109.1,0.0,0.0,0.3,0.8,0.3,0.0
Amanda 25,25,52_3,1,2,88.9,79.34,87.58,1.9,314.1,96.0,265.3,223.2,13.5,5.8,769.0,"212,160.8",323.6,0.5,1.3,1.4,53.3,36.4,2.7,1.2,0.5,2.0,0.6,33.5,1.3,83.9,0.0,0.0,0.3,2.3,0.6,0.0
Amanda 26,26,52_3,2,2,88.9,79.34,87.58,0.5,55.9,10.6,40.1,187.0,7.2,4.4,817.8,"210,441.4",70.9,0.2,1.2,1.2,32.8,4.5,2.4,0.8,0.6,2.0,0.6,41.5,0.3,103.1,0.0,0.0,0.2,0.9,0.3,0.0
Amanda 27,27,52_4,1,1,95.29,79.41,85.01,2.3,817.0,157.7,363.1,199.6,7.3,8.1,771.9,"210,404.1",648.6,0.7,1.2,1.4,32.1,20.1,2.8,1.7,0.1,2.7,0.7,40.9,4.4,97.8,0.0,0.0,0.2,5.1,0.3,0.0
Amanda 28,28,52_4,2,1,95.29,79.41,85.01,0.6,95.9,17.6,50.2,184.5,6.8,4.8,800.6,"217,538.1",102.4,0.2,1.2,1.2,26.4,2.7,2.5,0.8,0.1,2.3,0.7,43.7,0.8,106.5,0.0,0.0,0.2,1.7,0.2,0.0
Amanda 29,29,52_4,1,2,95.29,79.42,82.94,2.1,661.3,130.5,266.6,211.9,7.4,8.1,765.9,"220,230.3",507.0,0.6,1.2,1.4,46.5,14.5,0.4,0.8,0.2,2.5,0.6,41.5,3.1,99.5,0.0,0.0,0.2,3.7,0.2,0.0
Amanda 30,30,52_4,2,2,95.29,79.42,82.94,0.5,72.8,11.5,36.8,181.2,6.2,4.3,787.3,"222,787.4",74.6,0.1,1.2,1.2,36.1,2.1,0.2,0.4,0.1,1.9,0.6,43.4,0.5,105.8,0.0,0.0,0.2,1.2,0.2,0.0
Amanda blank,ICP_blank,,,,,,,0.3,1.7,0.8,0.9,125.4,5.5,3.1,3.0,263.9,5.0,0.1,0.1,1.0,11.3,0.2,0.0,0.4,0.0,0.2,0.1,8.3,0.0,8.3,0.2,0.0,0.1,0.0,0.0,0.0
Amanda 31,31,86_2,1,1,77.18,79.35,85.08,0.5,39.4,13.4,31.6,206.1,16.8,4.3,757.4,"229,218.4",184.4,0.4,1.2,1.4,84.7,4.0,0.1,0.4,0.1,0.7,0.6,35.2,0.2,89.0,0.0,0.0,0.3,0.4,0.3,0.0
Amanda 32,32,86_2,2,1,77.18,79.35,85.08,0.4,25.7,3.6,6.2,202.6,6.7,4.3,793.6,"226,830.0",36.1,0.1,1.2,1.3,34.8,1.2,0.0,0.4,0.1,0.9,0.6,40.6,0.0,102.5,0.0,0.0,0.2,0.2,0.2,0.0
Amanda 33,33,86_2,1,2,77.18,79.51,86.31,0.5,50.9,15.7,30.6,201.5,20.3,4.4,917.3,"230,002.6",233.8,0.5,1.4,1.6,96.1,4.5,0.1,0.6,0.3,2.2,0.8,49.4,0.2,130.6,0.0,0.0,0.4,0.4,0.3,0.0
Amanda 34,34,86_2,2,2,77.18,79.51,86.31,0.4,35.3,3.9,4.1,188.6,7.5,4.4,957.8,"236,154.9",52.7,0.0,1.5,1.8,43.9,1.5,0.0,4.5,0.2,1.1,0.8,52.5,0.1,140.2,0.0,0.0,0.2,0.2,0.3,0.0
Amanda 35,35,86_3,1,1,86.4,79.49,100.01,2.5,686.8,204.0,771.2,214.8,7.2,7.7,923.8,"248,799.4",730.6,1.0,1.7,1.6,51.1,21.8,0.5,1.2,0.3,1.9,0.8,40.1,3.6,109.3,0.0,0.0,0.2,5.3,0.5,0.0
Amanda 36,36,86_3,2,1,86.4,79.49,100.01,0.7,119.1,28.9,130.8,220.7,6.2,4.7,958.3,"244,529.9",159.0,0.3,1.6,1.6,33.3,3.9,0.1,0.7,0.2,2.8,0.8,49.1,0.8,134.8,0.0,0.0,0.2,1.9,0.3,0.0
Amanda 37,37,86_3,1,2,86.4,79.53,95.31,2.5,623.5,175.1,693.1,221.0,6.6,7.4,926.8,"248,654.5",611.3,0.9,1.6,1.7,34.4,18.3,0.4,1.1,0.2,1.2,0.8,49.0,3.1,128.6,0.0,0.0,0.2,4.6,0.4,0.0
Amanda 38,38,86_3,2,2,86.4,79.53,95.31,0.7,103.2,21.3,104.4,210.1,5.9,4.6,958.1,"253,622.9",107.2,0.2,1.6,2.1,23.3,3.2,0.1,2.1,0.1,1.0,0.8,51.7,0.6,138.5,0.0,0.0,0.2,1.6,0.3,0.0
Amanda 39,39,86_4,1,1,79.33,79.37,96.52,3.7,"1,090.0",211.0,862.0,209.5,9.0,8.1,913.7,"254,893.2","1,093.9",1.2,1.5,1.6,35.1,18.3,0.8,1.6,0.3,2.4,0.9,49.3,6.1,129.7,6.0,0.0,0.4,7.6,0.3,0.0
Amanda 40,40,86_4,2,1,79.33,79.37,96.52,0.8,133.5,26.2,131.8,211.4,6.1,4.6,950.9,"260,318.9",201.2,0.3,1.6,1.5,22.4,3.2,0.1,0.7,0.1,1.3,0.8,52.0,1.4,140.4,5.3,0.0,0.2,2.8,0.3,0.0
Amanda blank,ICP_blank,,,,,,,0.3,2.8,0.9,0.9,160.3,5.4,3.3,3.8,246.0,4.8,0.0,0.2,1.2,12.8,0.2,0.0,0.4,0.0,0.2,0.1,8.3,0.0,8.5,0.2,0.0,0.1,0.0,0.0,0.0
Amanda 41,41,86_4,1,2,79.33,79.71,96.09,3.8,"1,117.9",202.1,869.3,194.4,9.0,8.1,917.3,"272,396.1","1,093.7",1.2,1.7,1.5,38.2,17.9,0.8,1.6,0.3,1.9,0.9,42.0,6.1,112.4,5.6,0.0,0.3,7.5,0.3,0.0
Amanda 42,42,86_4,2,2,79.33,79.71,96.09,0.8,135.6,26.1,132.7,212.7,6.4,4.7,970.8,"268,643.0",201.8,0.4,1.7,1.4,26.8,3.1,0.1,0.6,0.1,1.5,0.8,50.1,1.4,138.2,5.0,0.0,0.2,2.9,0.3,0.0
Amanda blank,ICP_blank,,,,,,,0.4,4.3,3.3,0.9,153.5,5.4,3.2,3.6,293.9,6.4,0.1,0.2,1.1,13.7,0.2,0.0,0.4,0.1,0.4,0.1,7.8,0.0,8.0,0.3,0.0,0.1,0.0,0.1,0.0
Amanda 43 IRA,43,,1,1,1,,,0.4,26.5,3.0,2.0,183.2,6.6,4.3,740.8,"278,209.8",20.1,0.0,1.4,1.3,19.9,0.6,0.0,0.5,0.0,0.4,0.6,32.1,0.1,82.4,0.0,0.0,0.4,0.1,0.1,0.0
Amanda 44 IR,44,,1,1,1,,,0.4,28.9,2.9,3.7,192.2,6.0,4.3,768.4,"275,096.8",13.2,0.2,1.4,1.5,26.8,0.7,0.0,0.5,0.1,0.6,0.7,37.3,0.0,95.0,0.0,0.0,0.3,0.1,0.2,0.0
