Durham_id,Sample_id,Well_id,Extraction,Replicate,Total_resin_g,Initial_g,After_E1g,7Li (STDR),Na,Mg,Al,29Si (STDR),P,S,35Cl (STDR),39K (STDR),Ca,48Ti (STDR),51V (STDR),52Cr (STDR),Fe,Mn,59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
Amanda blank,ICP_blank,,,,,,,0.1,48.8,4.9,4.3,71.5,4.4,1.7,0.0,17.3,28.5,0.2,0.0,0.9,4.6,0.0,0.1,0.3,0.2,0.6,0.0,0.4,0.1,0.1,0.5,0.0,0.2,0.1,0.0,0.0
Amanda 1,1,99_99,1,1,1,82.17,106.96,0.4,53.1,2.5,2.4,88.2,3.2,2.3,712.7,"271,740.8",11.3,0.2,0.9,0.9,10.1,0.3,0.1,0.2,0.2,0.7,0.5,15.0,0.1,38.3,0.2,0.0,0.2,0.1,0.2,0.0
Amanda 2,2,99_99,2,1,1,82.17,106.96,0.3,54.7,1.6,2.2,99.1,3.3,2.4,743.0,"264,424.6",9.9,0.2,1.1,1.0,12.0,0.3,0.1,0.2,0.1,0.7,0.5,17.1,0.1,48.4,0.3,0.0,0.2,0.1,0.3,0.0
Amanda 3,3,99_99,1,2,1,81.81,116.72,0.2,55.3,1.9,2.2,78.8,3.9,2.6,759.4,"259,169.6",11.5,0.2,1.1,0.9,12.9,0.4,0.1,0.3,0.2,0.9,0.5,19.1,0.1,54.1,0.2,0.0,0.2,0.1,0.2,0.0
Amanda 4,4,99_99,2,2,1,81.81,116.72,0.3,60.8,1.6,2.0,126.0,4.1,2.7,759.3,"246,750.7",16.8,0.2,1.1,1.1,12.7,0.4,0.1,0.3,0.1,0.6,0.5,20.7,0.1,58.1,2.4,0.0,0.2,0.1,0.3,0.0
Amanda 5,5,99_99,1,3,1,82.29,126.67,0.3,61.4,2.0,2.9,101.1,4.9,2.9,751.0,"236,497.9",17.6,0.2,1.1,0.9,14.1,0.4,0.1,0.3,1.3,1.9,0.5,22.3,0.1,61.0,10.9,0.0,0.2,0.1,0.3,0.0
Amanda 6,6,99_99,2,3,1,82.29,126.67,0.3,61.4,1.9,3.0,143.3,5.1,3.0,765.4,"226,652.5",16.2,0.2,1.1,1.2,14.6,0.4,0.1,0.3,0.2,0.7,0.5,24.5,0.1,66.2,6.8,0.0,0.2,0.1,0.2,0.0
Amanda 7,7,42_2,1,1,73.29,79.33,88.33,1.7,456.8,63.4,312.6,160.7,20.9,3.8,735.6,"224,993.8",349.7,0.3,1.1,1.2,115.7,67.0,0.2,0.5,0.6,1.4,0.6,22.3,1.6,58.1,12.1,0.0,0.3,3.7,0.4,0.0
Amanda 8,8,42_2,2,1,73.29,79.33,88.33,0.5,136.9,8.7,54.3,129.0,8.0,3.5,953.0,"210,389.2",77.4,0.4,1.4,1.6,48.7,10.5,0.1,0.4,0.3,1.8,0.7,34.9,0.5,98.2,11.3,0.0,0.4,1.7,0.4,0.0
Amanda 9,9,42_2,1,2,73.29,79.42,93.71,2.2,585.7,83.2,416.5,157.2,26.6,4.4,946.5,"198,076.0",470.0,0.7,1.5,1.4,150.9,90.5,0.2,0.6,0.7,2.0,0.8,39.7,2.2,108.1,11.2,0.0,0.4,5.0,0.5,0.0
Amanda 10,10,42_2,2,2,73.29,79.42,93.71,0.5,114.4,13.3,66.9,166.1,9.5,3.6,949.1,"196,620.5",112.1,0.2,1.4,1.4,44.4,13.3,0.1,0.7,0.8,3.8,0.7,41.9,0.5,113.7,11.5,0.0,0.3,1.8,0.4,0.0
Amanda blank,ICP_blank,,,,,,,0.2,59.2,3.3,4.9,94.4,10.1,2.9,3.1,359.3,24.5,0.0,0.1,0.9,11.6,0.1,0.1,0.3,0.1,0.6,0.0,5.3,0.1,4.8,0.7,0.0,0.2,0.1,0.0,0.0
Amanda 11,11,42_3,1,1,84,79.52,90.37,0.9,258.6,23.4,152.1,171.0,8.8,4.4,955.3,"200,021.4",245.5,0.4,1.4,1.3,37.7,24.8,0.1,0.4,0.4,1.9,0.7,40.1,0.5,107.9,1.0,0.0,0.3,1.4,0.3,0.0
Amanda 12,12,42_3,2,1,84,79.52,90.37,0.4,106.5,4.8,25.7,193.8,7.8,4.0,"1,011.1","196,090.9",58.4,0.2,1.5,1.5,22.6,3.5,0.1,0.4,0.2,2.4,0.8,47.8,0.2,129.2,0.8,0.0,0.3,0.6,0.3,0.0
Amanda 13,13,42_3,1,2,84,79.58,91.83,0.9,269.2,23.3,162.2,189.1,9.6,4.7,968.3,"196,316.4",248.4,0.3,1.4,1.3,30.6,26.9,0.1,0.4,0.5,4.2,0.7,47.3,0.5,124.3,0.8,0.0,0.3,1.5,0.3,0.0
Amanda 14,14,42_3,2,2,84,79.58,91.83,0.4,42.9,3.3,27.3,191.5,5.9,4.1,810.4,"196,844.1",45.3,0.2,1.2,1.5,22.8,3.1,2.7,0.8,0.1,1.8,0.6,40.1,0.1,97.9,0.0,0.0,0.2,0.5,0.3,0.0
Amanda 15,15,42_4,1,1,73.03,79.42,92.9,0.5,142.3,16.7,75.9,202.1,7.0,4.7,797.7,"195,010.4",238.1,0.1,1.2,1.4,24.0,4.6,2.7,0.8,0.2,0.9,0.6,39.9,0.4,96.4,0.0,0.0,0.2,0.9,0.2,0.0
Amanda 16,16,42_4,2,1,73.03,79.42,92.9,0.4,35.6,2.5,12.9,162.9,5.6,4.2,803.0,"198,653.7",46.1,0.1,1.2,1.1,19.6,1.0,2.4,0.6,0.1,0.8,0.6,34.2,0.1,85.5,0.0,0.0,0.2,0.4,0.2,0.0
Amanda 17,17,42_4,1,2,73.03,79.66,95.37,0.6,145.0,16.9,79.6,202.4,6.6,4.6,800.5,"193,353.8",238.2,0.3,1.2,1.4,22.9,4.7,2.5,0.8,0.2,1.3,0.6,39.5,0.4,96.4,0.0,0.0,0.3,0.9,0.3,0.0
Amanda 18,18,42_4,2,2,73.03,79.66,95.37,0.4,41.4,3.0,17.2,216.3,6.4,4.3,837.0,"193,129.9",54.4,0.2,1.2,1.4,38.2,1.3,2.5,0.7,0.1,2.2,0.6,43.0,0.1,105.7,0.0,0.0,0.2,0.4,0.3,0.0
