Durham_id,Sample_id,Well_id,Extraction,Replicate,Total_resin_g,Initial_g,After_E1g,7Li (STDR),Na,Mg,Al,29Si (STDR),P,S,35Cl (STDR),39K (STDR),Ca,47Ti (STDR),51V (STDR),52Cr (STDR),Fe,Mn,59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
Amanda Pennino 1,1,99_99,1,1,1,,,0.4,"267,537.0",1.9,4.8,241.0,3.7,2.4,462.8,"2,805.7",-9.5,0.5,7.3,1.5,15.0,-10.5,0.0,0.5,0.8,1.1,1.1,1.6,0.1,0.1,0.0,0.0,0.4,0.2,0.1,0.0
Amanda Pennino 2,2,99_99,2,1,1,,,0.2,"272,250.2",1.4,2.1,209.5,2.9,2.3,470.3,"1,441.9",-15.7,0.3,7.1,1.3,10.7,-10.7,0.0,0.5,0.3,-0.1,1.2,1.9,0.0,0.1,0.0,0.0,0.3,0.1,0.0,0.0
Amanda Pennino 3,3,99_99,1,2,1,,,0.2,"268,950.2",1.8,3.9,214.5,3.2,2.4,467.3,"2,879.0",-12.9,0.3,6.6,1.5,11.8,-10.6,0.0,0.6,0.3,0.1,1.2,2.0,0.0,0.1,0.0,0.0,0.3,0.1,0.0,0.0
Amanda Pennino 4,4,99_99,2,2,1,,,0.2,"281,087.5",1.6,3.5,224.4,3.7,2.8,484.1,"1,493.8",-13.7,0.3,6.7,1.5,12.0,-10.7,0.0,0.5,0.4,0.2,1.2,2.3,0.1,0.1,0.0,0.0,0.3,0.1,0.0,0.0
Amanda Pennino 7,7,42_2,1,1,79.7464,,,0.2,"6,856.1",4.4,17.3,218.5,4.2,2.3,357.6,"351,475.4",33.8,0.2,2.5,1.3,25.8,-6.9,0.0,0.7,0.3,5.1,0.7,8.0,0.1,1.4,0.1,0.0,0.3,0.2,0.1,0.0
Amanda Pennino 8,8,42_2,2,1,79.7464,,,0.1,500.9,0.3,4.5,205.4,3.4,2.2,368.2,"376,663.7",-11.9,0.1,2.2,1.1,11.6,-10.0,0.0,0.5,0.1,0.2,0.6,11.4,0.0,5.0,0.1,0.0,0.2,0.1,0.1,0.0
Amanda Pennino 9,9,42_2,1,2,79.7464,,,0.2,"6,820.5",4.9,20.8,203.8,5.5,2.4,350.7,"349,006.2",57.4,0.3,2.0,1.4,27.4,-6.9,0.0,0.9,0.6,9.7,0.6,11.2,0.1,6.4,0.1,0.0,0.4,0.2,0.2,0.0
Amanda Pennino 10,10,42_2,2,2,79.7464,,,0.1,508.0,0.3,4.4,201.9,4.3,2.5,361.2,"374,350.4",-12.0,0.2,2.0,1.1,11.0,-10.0,0.0,0.5,0.1,0.0,0.6,12.1,0.0,7.9,0.1,0.0,0.2,0.1,0.1,0.0
Amanda Pennino B1,ICP_blank,,,,,,,0.1,2.6,0.2,1.9,133.5,2.4,1.2,-0.6,136.5,-20.9,0.0,-0.1,1.0,4.7,-10.5,0.0,0.4,0.1,-0.3,0.0,1.7,0.0,0.6,0.0,0.0,0.2,0.1,0.2,0.0
Amanda Pennino 11,11,42_3,1,1,79.7464,,,0.2,"7,209.8",3.8,15.0,193.5,5.0,2.2,349.2,"349,477.8",27.9,0.2,1.8,1.4,11.5,-8.4,0.0,0.7,0.5,4.4,0.5,10.3,0.1,5.2,0.0,0.0,0.8,0.2,0.1,0.1
